materials     property        D               Bv          Br         BV       Gv        Gr         GV      el         pr        Y              Fr           Rx      Rn      RW       Ax       An        AW           IEx        IEn       IEW                               
TaN           26              13.99558899     307         306        307      184       180        182     0.12       0.25      455.7793339    15.4169      2.0000 	0.5600 	1.2800   180.9479 	14.0067 	97.4773      1402.3000 	761.0000 	1081.6500 
CrB4          26.1            4.253212703     285         270        277      265       251        258     0.33       0.15      590.880329     3.7020       1.6600 	0.8700 	1.0280   51.9961 	10.8110 	19.0480      800.6000 	652.9000 	771.0600  
ReB2          26.9            12.48326384     343         332        337      275       265        270     0.23       0.18      639.4731592    8.7362       1.8800 	0.8700 	1.2067   186.2070 	10.8110 	69.2763      800.6000 	760.0000 	787.0667  
TiB           27.46           4.575880615     208         207        207      191       188        190     0.09       0.15      435.8242987    2.4896       1.7600 	0.8700 	1.3150   47.8670 	10.8110 	29.3390      800.6000 	658.8000 	729.7000  
Cr2N          27.5            6.723825369     285         285        285      144       136        140     0.29       0.29      360.8689012    13.1951      1.6600 	0.5600 	1.2933   51.9961 	14.0067 	39.3330      1402.3000 	652.9000 	902.7000  
MoN           29              8.914411809     334         320        327      200       192        196     0.25       0.25      490.0831947    16.8446      1.9000 	0.5600 	1.2300   95.9400 	14.0067 	54.9734      1402.3000 	684.3000 	1043.3000 
TaC           29              14.23428097     324         324        324      221       208        215     0.3        0.23      527.0939179    15.9684      2.0000 	0.6700 	1.3350   180.9479 	12.0107 	96.4793      1086.5000 	761.0000 	923.7500  
TiC           29              4.879907059     253         253        253      176       175        176     0.02       0.22      427.6222635    10.2272      1.7600 	0.6700 	1.2150   47.8670 	12.0107 	29.9389      1086.5000 	658.8000 	872.6500  
B2Os          29.4            12.64795774     314         308        311      182       150        166     1.07       0.27      422.3707927    15.0770      1.8500 	0.8700 	1.1967   190.2300 	10.8110 	70.6173      840.0000 	800.6000 	813.7333  
WC            30              15.3503693      387         383        385      282       276        279     0.13       0.21      674.1494562    17.7458      1.9300 	0.6700 	1.3000   183.8400 	12.0107 	97.9254      1086.5000 	770.0000 	928.2500  
Ta3B4         32.85           13.28435248     296         296        296      211       205        208     0.15       0.22      505.5604704    13.2061      2.0000 	0.8700 	1.3543   180.9479 	10.8110 	83.7268      800.6000 	761.0000 	783.6286  
TiB2          33.34           4.487425163     256         251        253      256       250        253     0.14       0.13      569.5304088    6.8946       1.7600 	0.8700 	1.1667   47.8670 	10.8110 	23.1630      800.6000 	658.8000 	753.3333  
SiC           34              3.171908241     213         213        213      189       185        187     0.12       0.16      433.9852522    2.9007       1.1100 	0.6700 	0.8900   28.0855 	12.0107 	20.0481      1086.5000 	786.5000 	936.5000  
VB2           34              5.10857069      289         282        286      243       239        241     0.12       0.17      564.2349296    5.3710       1.7100 	0.8700 	1.1500   50.9415 	10.8110 	24.1878      800.6000 	650.9000 	750.7000  
B6O           38              2.596068102     230         224        227      211       204        207     0.2        0.15      477.1204142    2.6833       0.8700 	0.4800 	0.8143   15.9994 	10.8110 	11.5522      1313.9000 	800.6000 	873.9286  
HfB2          45.5            11.12171908     252         250        251      246       239        242     0.15       0.13      550.2727064    6.7137       2.0800 	0.8700 	1.2733   178.4900 	10.8110 	66.7040      800.6000 	658.5000 	753.2333  
BC2N          76.9            3.418547219     362         361        362      412       406        409     0.07       0.09      890.9756452    184.8174     0.8700 	0.5600 	0.6925   14.0067 	10.8110 	12.2098      1402.3000 	800.6000 	1093.9750 
