eg,chemsys,nelements,formula
0.0,Ni-O-Zn,3,Zn(NiO2)2
0.0,Ni-O-Zn,3,Zn(NiO2)2
0.1372,Ni-O-Zn,3,Zn(NiO2)2
0.0,Ni-O-Zn,3,Zn(NiO2)2
0.0,Ni-O-Zn,3,Zn(NiO2)2
0.0,Ni-O-Zn,3,Zn(NiO2)2
0.0,Ni-O-Zn,3,Zn(NiO2)2
0.0,Ni-O-Zn,3,Zn(NiO2)2
0.0,Ni-O-Zn,3,Zn(NiO2)2
0.0,Ni-O-Zn,3,Zn(NiO2)2
0.0,Ni-O-Zn,3,Zn(NiO2)4
0.0,Ni-O-Zn,3,Zn(NiO2)4
0.0,Ni-S-Zn,3,Zn(NiS2)2
0.0,Ni-S-Zn,3,Zn(NiS2)2
0.0,Ni-S-Zn,3,Zn(NiS2)4
0.0,Ni-S-Zn,3,Zn(NiS2)4
0.0,F-O-Zn,3,Zn(OF)2
0.0,F-O-Zn,3,Zn(OF)2
0.0,F-O-Zn,3,Zn(OF)2
0.8778999999999999,F-O-Zn,3,Zn(OF)2
0.0,F-O-Zn,3,Zn(OF)2
0.4344000000000001,F-O-Zn,3,Zn(OF)2
2.5759,O-P-Zn,3,Zn(PO2)2
4.7071,O-P-Zn,3,Zn(PO3)2
4.6635,O-P-Zn,3,Zn(PO3)2
0.9577,O-P-Zn,3,Zn(PO5)2
1.0259999999999998,N-Pb-Zn,3,Zn(PbN)2
0.6909999999999998,N-Pb-Zn,3,Zn(PbN)2
0.3047000000000004,O-Pt-Zn,3,Zn(PtO2)3
3.992,O-Re-Zn,3,Zn(ReO4)2
0.0,O-Re-Zn,3,Zn(ReO6)2
0.9324,O-Rh-Zn,3,Zn(RhO2)2
0.9053000000000004,O-Sb-Zn,3,Zn(SbO2)2
2.1291,O-Sb-Zn,3,Zn(SbO2)2
0.1817000000000002,O-Sb-Zn,3,Zn(SbO2)2
0.0388000000000001,O-Sb-Zn,3,Zn(SbO2)2
0.6042999999999994,O-Sb-Zn,3,Zn(SbO2)2
0.0,O-Sb-Zn,3,Zn(SbO2)2
1.2872999999999992,O-Sb-Zn,3,Zn(SbO2)2
2.7258,O-Sb-Zn,3,Zn(SbO2)2
0.0,O-Sb-Zn,3,Zn(SbO2)4
1.8582,O-Sb-Zn,3,Zn(SbO2)4
0.0,O-Sb-Zn,3,Zn(SbO2)4
1.0979999999999994,O-Sb-Zn,3,Zn(SbO3)2
0.5421999999999993,O-Sb-Zn,3,Zn(SbO3)2
0.0,O-Se-Zn,3,Zn(SeO5)2
0.0443000000000006,O-Sn-Zn,3,Zn(Sn2O3)2
