ID,composition,source,temperature,target,family,ChemicalFamily,0
249.0,Li1.5Al0.5Ge1.5(PO4)3,10.1016/S0167-2738(97)00434-7,25.0,0.000218,NASICON,Oxides,
250.0,LiGe2(PO4)3,10.1016/S0167-2738(97)00434-7,21.23,1e-06,NASICON,Oxides,
251.0,Li4Nd3TeSbO12,10.1021/cm703677q,200.0,2.64e-05,Garnet,,
252.0,Li4Nd3TeSbO12,10.1021/cm703677q,25.0,8.7e-09,Garnet,Oxides,
253.0,"""(Li2O)50 (LiF)20 (P2O5)30""",10.1134/S1023193509050048,106.0,7.99e-05,Glass,,
254.0,"""(Li2O)50 (LiF)20 (P2O5)30""",10.1134/S1023193509050048,53.0,4.52e-06,Glass,,
255.0,"""(Li2O)50 (LiF)20 (P2O5)30""",10.1134/S1023193509050048,25.0,4.4e-07,Glass,Oxides and Other Anions,
256.0,"""(Li2O)50 (LiF)20 (P2O5)30""",10.1134/S1023193509050048,88.0,2.24e-05,Glass,,
265.0,Li3.2Ge0.2P0.8S4,10.1149/1.1379028,290.0,0.1,Thio-LISICON,,
266.0,Li3.6Ge0.6P0.4S4,10.1149/1.1379028,290.0,0.0631,Thio-LISICON,,
267.0,Li3.8Ge0.8P0.2S4,10.1149/1.1379028,290.0,0.0126,Thio-LISICON,,
268.0,Li9SiAlO8,10.1149/1.1836980,30.0,2.3e-07,Glass,Oxides,
269.0,Li6Sr0.5Ba0.5La2Ta2O12,10.1149/1.2800764,200.0,0.0057,Garnet,,
270.0,Li6SrLa2Ta2O12,10.1149/1.2800764,200.0,0.00589,Garnet,,
271.0,Li6Sr0.5Ba0.5La2Ta2O12,10.1149/1.2800764,150.0,0.00163,Garnet,,
272.0,Li6SrLa2Ta2O12,10.1149/1.2800764,149.0,0.0015,Garnet,,
273.0,Li6Sr0.5Ba0.5La2Ta2O12,10.1149/1.2800764,100.0,0.000333,Garnet,,
274.0,Li6SrLa2Ta2O12,10.1149/1.2800764,100.0,0.000268,Garnet,,
275.0,Li6BaLa2Ta2O12,10.1149/1.2800764,50.0,0.00013,Garnet,,
277.0,Li6Sr0.5Ba0.5La2Ta2O12,10.1149/1.2800764,50.0,4.96e-05,Garnet,,
278.0,Li6MgLa2Ta2O12,10.1149/1.2800764,100.0,2.45e-05,Garnet,,
281.0,Li6SrLa2Ta2O12,10.1149/1.2800764,50.0,3.66e-05,Garnet,,
282.0,Li6CaLa2Ta2O12,10.1149/1.2800764,100.0,3.58e-05,Garnet,,
285.0,Li6BaLa2Ta2O12,10.1149/1.2800764,17.0,2.25e-05,Garnet,Oxides,
288.0,Li6SrLa2Ta2O12,10.1149/1.2800764,33.0,1.38e-05,Garnet,Oxides,
289.0,Li6Sr0.5Ba0.5La2Ta2O12,10.1149/1.2800764,20.0,8.08e-06,Garnet,Oxides,
290.0,Li6Sr0.5Ba0.5La2Ta2O12,10.1149/1.2800764,33.0,6.46e-06,Garnet,Oxides,
291.0,Li6CaLa2Ta2O12,10.1149/1.2800764,50.0,3.59e-06,Garnet,,
292.0,Li6MgLa2Ta2O12,10.1149/1.2800764,50.0,2.74e-06,Garnet,,
300.0,Li3.2Ge0.2P0.8S4,10.1149/1.1379028,27.0,0.00054,Thio-LISICON,Sulphides,
301.0,Li6.75La3Zr1.75Ta0.25O12,10.1016/j.jpowsour.2012.01.131,25.0,0.000896,Garnet,Oxides,
302.0,"""(Li2S)50 (P2S5)17 (LiBH4)33""",10.1016/j.jpowsour.2012.12.001,25.0,0.00143,Glass,Sulphides and Other Anions,
303.0,Li2.7Cr1.7Hf0.3(PO4)3,10.1016/S0167-2738(98)00207-0,171.0,2.25e-05,NASICON,,
304.0,Li2.5Cr1.5Hf0.5(PO4)3,10.1016/S0167-2738(98)00207-0,300.0,0.000355,NASICON,,
305.0,Li1.7Cr0.7Hf1.3(PO4)3,10.1016/S0167-2738(98)00207-0,300.0,0.000528,NASICON,,
306.0,Li2.3Cr1.3Hf0.7(PO4)3,10.1006/jssc.2000.8658,300.0,0.000181,NASICON,,
307.0,Li2CrHf(PO4)3,10.1016/S0167-2738(96)00565-6,300.0,0.000335,NASICON,,
308.0,Li1.3Fe0.3Ti1.7(PO4)3,10.1007/s10008-002-0314-3,300.0,0.00858,NASICON,,
309.0,Li2AlZr(PO4)3,10.1007/s10008-008-0520-8,300.0,3.4e-06,NASICON,,
310.0,Li1.3Al0.1Sc0.2Ti1.7(PO4)3,10.1007/s10008-012-1780-x,25.0,0.000426,NASICON,Oxides,
311.0,Li1.3Al0.2Sc0.1Ti1.7(PO4)3,10.1007/s10008-012-1780-x,25.0,0.000269,NASICON,Oxides,
312.0,Li1.15Fe0.15Ti1.85(PO4)3,10.1007/s11164-013-1348-0,25.0,0.000522,NASICON,Oxides,
313.0,LiTi2(PO4)3,10.1007/s11164-013-1348-0,25.0,7.2e-05,NASICON,Oxides,
314.0,Li0.95Hf1.95Ta0.05(PO4)3,10.1016/0025-5408(77)90161-1,300.0,0.00066,Lysonite,,
315.0,Li0.95Zr1.95Ta0.05(PO4)3,10.1016/0025-5408(77)90161-1,300.0,0.00073,NASICON,,
316.0,Li0.9Zr1.9Ta0.1(PO4)3,10.1016/0025-5408(77)90161-1,300.0,0.00095,NASICON,,
317.0,Li0.5Hf1.5Ta0.5(PO4)3,10.1016/0025-5408(77)90161-1,200.0,0.00093,NASICON,,
318.0,Li0.8Zr1.8Nb0.2(PO4)3,10.1016/0025-5408(77)90161-1,200.0,7.4e-05,NASICON,,
320.0,Li0.5Zr1.5Ta0.5(PO4)3,10.1016/0025-5408(77)90161-1,200.0,0.0009,NASICON,,
321.0,Li0.85Hf1.85Ta0.15(PO4)3,10.1016/0025-5408(77)90161-1,200.0,0.00051,NASICON,,
322.0,Li0.5Zr1.5Nb0.5(PO4)3,10.1016/0025-5408(89)90129-3,200.0,0.00197,NASICON,,
323.0,Li0.6Zr1.6Nb0.4(PO4)3,10.1016/0025-5408(89)90129-3,200.0,0.000292,NASICON,,
324.0,Li0.8Hf1.8Nb0.2(PO4)3,10.1016/0025-5408(89)90129-3,200.0,0.000213,NASICON,,
325.0,Li0.1Zr1.1Nb0.9(PO4)3,10.1016/0025-5408(89)90129-3,200.0,0.00197,NASICON,,
326.0,LiHfTi(PO4)3,10.1016/0025-5408(89)90129-3,23.0,5.63e-07,NASICON,Oxides,
