functional group,A,A_OS,A',A'_OS,A_HOMO-,A_HOMO+,A_IE-,A_IE+,A_LUMO-,A_LUMO+,A_X-,A_X+,A_Z_radii-,A_Z_radii+,A_e_affin-,A_e_affin+,Bi,B_OS,B',B'_OS,B_HOMO-,B_HOMO+,B_IE-,B_IE+,B_LUMO-,B_LUMO+,B_X-,B_X+,B_Z_radii-,B_Z_radii+,B_e_affin-,B_e_affin+,Insulator,PBE band gap,μ,μĀ,μ𝐵 ̅,stable,t
TlCsAuLuO6,Tl,3,Cs,1,0.129,-2.238,106.799999999999,482.5,0.0804999999999999,-0.6415,0.415,1.205,1.03749999999999,3.2725,7.31,38.19,Au,5,Lu,1.97099999999999,1.97099999999999,-3.78899999999999,183.3,706.8,0.466999999999999,-1.23099999999999,0.635,1.905,0.355,3.015,99.88,122.92,0,0.0,0.51107,0.23929,0.10393,1,0.98437
TlCsAuPrO6,Tl,3,Cs,1,0.129,-2.238,106.799999999999,482.5,0.0804999999999999,-0.6415,0.415,1.205,1.03749999999999,3.2725,7.31,38.19,Au,5,Pr,1.35249999999999,1.35249999999999,-4.4075,183.55,706.55,1.09649999999999,-1.8605,0.705,1.835,0.91,3.57,106.1305,116.6695,0,0.0,0.55714,0.23929,0.15,1,0.95524
TlCsAuScO6,Tl,3,Cs,1,0.129,-2.238,106.799999999999,482.5,0.0804999999999999,-0.6415,0.415,1.205,1.03749999999999,3.2725,7.31,38.19,Au,5,Sc,1.23499999999999,1.23499999999999,-4.525,129.55,760.55,1.2115,-1.97549999999999,0.59,1.95,0.0449999999999999,2.705,102.35,120.45,0,0.0,0.46964,0.23929,0.0625,1,1.01212
TlCsAuTaO6,Tl,3,Cs,1,0.129,-2.238,106.799999999999,482.5,0.0804999999999999,-0.6415,0.415,1.205,1.03749999999999,3.2725,7.31,38.19,Au,5,Ta,1.05399999999999,1.05399999999999,-4.70599999999999,64.4,825.7,1.391,-2.155,0.52,2.02,0.0649999999999999,2.725,95.9,126.9,0,0.0,0.46071,0.23929,0.05357,1,1.0183
TlCsAuTiO6,Tl,3,Cs,1,0.129,-2.238,106.799999999999,482.5,0.0804999999999999,-0.6415,0.415,1.205,1.03749999999999,3.2725,7.31,38.19,Au,5,Ti,0.695999999999999,0.695999999999999,-5.064,116.05,774.05,1.7315,-2.4955,0.5,2.04,0.04,2.62,107.6,115.2,0,0.0,0.44286,0.23929,0.03571,1,1.03091
TlCsAuTmO6,Tl,3,Cs,1,0.129,-2.238,106.799999999999,482.5,0.0804999999999999,-0.6415,0.415,1.205,1.03749999999999,3.2725,7.31,38.19,Au,5,Tm,1.859,1.859,-3.901,146.9,743.2,0.579,-1.343,0.645,1.895,0.47,3.13,61.9,160.9,0,0.0,0.51786,0.23929,0.11071,1,0.97997
TlCsAuYO6,Tl,3,Cs,1,0.129,-2.238,106.799999999999,482.5,0.0804999999999999,-0.6415,0.415,1.205,1.03749999999999,3.2725,7.31,38.19,Au,5,Y,1.599,1.599,-4.161,137.25,752.85,0.834,-1.59799999999999,0.66,1.88,0.139999999999999,2.8,96.6,126.2,0,0.0,0.525,0.23929,0.11786,1,0.97538
TlCsBiTmO6,Tl,3,Cs,1,0.129,-2.238,106.799999999999,482.5,0.0804999999999999,-0.6415,0.415,1.205,1.03749999999999,3.2725,7.31,38.19,Bi,5,Tm,1.264,1.264,-3.306,53.5,649.8,0.617,-1.305,0.385,1.635,0.8015,2.7985,3.85,95.15,0,0.0,0.58571,0.23929,0.04286,1,0.93803
TlCsBiYO6,Tl,3,Cs,1,0.129,-2.238,106.799999999999,482.5,0.0804999999999999,-0.6415,0.415,1.205,1.03749999999999,3.2725,7.31,38.19,Bi,5,Y,1.004,1.004,-3.566,43.8499999999999,659.45,0.872,-1.56,0.4,1.62,0.471499999999999,2.4685,30.8499999999999,60.45,0,0.0,0.59286,0.23929,0.05,1,0.93382
TlCsHfPtO6,Tl,3,Cs,1,0.129,-2.238,106.799999999999,482.5,0.0804999999999999,-0.6415,0.415,1.205,1.03749999999999,3.2725,7.31,38.19,Hf,4,Pt,1.2495,1.2495,-4.0275,96.5,771.9,1.041,-1.733,0.489999999999999,1.79,0.104999999999999,2.805,94.15,111.15,0,0.0,0.47679,0.23929,0.03036,1,1.00722
